check-code-tag-composability: checks=16 passed=16 issues=13 blocking=0
[code-tag-composability:strict] apps/web/src/components/knowledge-graph/CardInspectorPanel.tsx:15 | severity=MEDIUM | code=CT-COMP-010 | Cannot evaluate 'displays' composability: target concept 'knowledge-graph-visualization.ConceptDetailCard' is not tagged in code | remediation=governance/tags/CODE-TAG-REMEDIATION.md (code=CT-COMP-010)
[code-tag-composability:strict] apps/web/src/components/knowledge-graph/FocusStateIndicator.tsx:14 | severity=MEDIUM | code=CT-COMP-010 | Cannot evaluate 'reflects' composability: target concept 'knowledge-graph-visualization.ExplorationState' is not tagged in code | remediation=governance/tags/CODE-TAG-REMEDIATION.md (code=CT-COMP-010)
[code-tag-composability:strict] apps/web/src/layouts/KnowledgeGraphPageLayout.tsx:41 | severity=MEDIUM | code=CT-COMP-010 | Cannot evaluate 'wraps' composability: target concept 'ui.knowledge-graph-visualization.route.canvas' is not tagged in code | remediation=governance/tags/CODE-TAG-REMEDIATION.md (code=CT-COMP-010)
[code-tag-composability:strict] backend/src/modules/knowledge-graph/application/get-concept-detail-card.ts:24 | severity=MEDIUM | code=CT-COMP-010 | Cannot evaluate 'queries' composability: target concept 'knowledge-graph-visualization.DocumentationWorkspace' is not tagged in code | remediation=governance/tags/CODE-TAG-REMEDIATION.md (code=CT-COMP-010)
[code-tag-composability:strict] backend/src/modules/knowledge-graph/application/get-concept-detail-card.ts:101 | severity=MEDIUM | code=CT-COMP-010 | Cannot evaluate 'shapes' composability: target concept 'knowledge-graph-visualization.ConceptDetailCard' is not tagged in code | remediation=governance/tags/CODE-TAG-REMEDIATION.md (code=CT-COMP-010)
[code-tag-composability:strict] backend/src/modules/knowledge-graph/application/get-definition-pointer.ts:21 | severity=MEDIUM | code=CT-COMP-010 | Cannot evaluate 'queries' composability: target concept 'knowledge-graph-visualization.DocumentationWorkspace' is not tagged in code | remediation=governance/tags/CODE-TAG-REMEDIATION.md (code=CT-COMP-010)
[code-tag-composability:strict] backend/src/modules/knowledge-graph/application/get-latest-mirror-projection.ts:73 | severity=MEDIUM | code=CT-COMP-010 | Cannot evaluate 'queries' composability: target concept 'knowledge-graph-visualization.DocumentationWorkspace' is not tagged in code | remediation=governance/tags/CODE-TAG-REMEDIATION.md (code=CT-COMP-010)
[code-tag-composability:strict] backend/src/modules/knowledge-graph/application/get-latest-mirror-projection.ts:108 | severity=MEDIUM | code=CT-COMP-010 | Cannot evaluate 'queries' composability: target concept 'knowledge-graph-visualization.DocumentationWorkspace' is not tagged in code | remediation=governance/tags/CODE-TAG-REMEDIATION.md (code=CT-COMP-010)
[code-tag-composability:strict] backend/src/modules/knowledge-graph/application/open-definition.ts:19 | severity=MEDIUM | code=CT-COMP-010 | Cannot evaluate 'transitions' composability: target concept 'knowledge-graph-visualization.ExplorationState' is not tagged in code | remediation=governance/tags/CODE-TAG-REMEDIATION.md (code=CT-COMP-010)
[code-tag-composability:strict] backend/src/modules/knowledge-graph/application/rebuild-mirror-projection.ts:52 | severity=MEDIUM | code=CT-COMP-010 | Cannot evaluate 'produces' composability: target concept 'knowledge-graph-visualization.MirrorProjectionBuilt' is not tagged in code | remediation=governance/tags/CODE-TAG-REMEDIATION.md (code=CT-COMP-010)
[code-tag-composability:strict] backend/src/modules/knowledge-graph/application/select-concept.ts:28 | severity=MEDIUM | code=CT-COMP-010 | Cannot evaluate 'transitions' composability: target concept 'knowledge-graph-visualization.ExplorationState' is not tagged in code | remediation=governance/tags/CODE-TAG-REMEDIATION.md (code=CT-COMP-010)
[code-tag-composability:strict] backend/src/modules/knowledge-graph/domain/models.ts:64 | severity=MEDIUM | code=CT-COMP-010 | Cannot evaluate 'contains' composability: target concept 'knowledge-graph-visualization.DefinitionPointer' is not tagged in code | remediation=governance/tags/CODE-TAG-REMEDIATION.md (code=CT-COMP-010)
[code-tag-composability:strict] backend/src/modules/knowledge-graph/domain/models.ts:145 | severity=MEDIUM | code=CT-COMP-010 | Cannot evaluate 'contains' composability: target concept 'knowledge-graph-visualization.RelationshipEdge' is not tagged in code | remediation=governance/tags/CODE-TAG-REMEDIATION.md (code=CT-COMP-010)
